Property,Value
Start Time,2026-08-01 18:15:47.352214616
Command,/home/shadi/.cache/go-build/e5/e50a616c3afd373c101b008fb2b7e9e07fd47e067d175afb4f3d03db54087fc0-d/matrixmultiplication -timing -report-all -x=512 -y=512 -z=512 -metric-file-name=baseline_matmul_512
Working Directory,/home/shadi/.cache/go-build/e5/e50a616c3afd373c101b008fb2b7e9e07fd47e067d175afb4f3d03db54087fc0-d
Start Virtual Time,0
End Time,2026-08-01 18:18:32.102118068
End Virtual Time,195591000
