Location,What,Value,Unit
GPU[1].SA[14].CU[0],simd_CPI,2.44744298548722,cycles/inst
GPU[1].SA[14].CU[1],cu_inst_count,68664.0,count
GPU[1].SA[14].CU[1],cu_CPI,2.06306070138646,cycles/inst
GPU[1].SA[14].CU[1],simd_inst_count,57880.0,count
GPU[1].SA[14].CU[1],simd_CPI,2.44744298548722,cycles/inst
GPU[1].SA[14].CU[2],cu_inst_count,68664.0,count
GPU[1].SA[14].CU[2],cu_CPI,2.06306070138646,cycles/inst
GPU[1].SA[14].CU[2],simd_inst_count,57880.0,count
GPU[1].SA[14].CU[2],simd_CPI,2.44744298548722,cycles/inst
GPU[1].SA[14].CU[3],cu_inst_count,68664.0,count
GPU[1].SA[14].CU[3],cu_CPI,2.06306070138646,cycles/inst
GPU[1].SA[14].CU[3],simd_inst_count,57880.0,count
GPU[1].SA[14].CU[3],simd_CPI,2.44744298548722,cycles/inst
GPU[1].SA[15].CU[0],cu_inst_count,68664.0,count
GPU[1].SA[15].CU[0],cu_CPI,2.06306070138646,cycles/inst
GPU[1].SA[15].CU[0],simd_inst_count,57880.0,count
GPU[1].SA[15].CU[0],simd_CPI,2.44744298548722,cycles/inst
GPU[1].SA[15].CU[1],cu_inst_count,68664.0,count
GPU[1].SA[15].CU[1],cu_CPI,2.06306070138646,cycles/inst
GPU[1].SA[15].CU[1],simd_inst_count,57880.0,count
GPU[1].SA[15].CU[1],simd_CPI,2.44744298548722,cycles/inst
GPU[1].SA[15].CU[2],cu_inst_count,68664.0,count
GPU[1].SA[15].CU[2],cu_CPI,2.06306070138646,cycles/inst
GPU[1].SA[15].CU[2],simd_inst_count,57880.0,count
GPU[1].SA[15].CU[2],simd_CPI,2.44744298548722,cycles/inst
GPU[1].SA[15].CU[3],cu_inst_count,68664.0,count
GPU[1].SA[15].CU[3],cu_CPI,2.06306070138646,cycles/inst
GPU[1].SA[15].CU[3],simd_inst_count,57880.0,count
GPU[1].SA[15].CU[3],simd_CPI,2.44744298548722,cycles/inst
GPU[1].SA[0].CU[0],CPIStack.Branch,0.00521379471047457,cycles/inst
GPU[1].SA[0].CU[0],CPIStack.Fetch,0.00849062099498996,cycles/inst
GPU[1].SA[0].CU[0],CPIStack.Idle,1.45636723756582e-05,cycles/inst
GPU[1].SA[0].CU[0],CPIStack.LDS,0.252038914132589,cycles/inst
GPU[1].SA[0].CU[0],CPIStack.ScalarInst,0.0566672492135632,cycles/inst
