metric,baseline,stride
total_demand_reads,5643.0,5563.0
demand_read_hits,1396.0,1318.0
demand_read_misses,4107.0,4107.0
demand_cache_hit_rate,0.2536798110121752,0.24294930875576037
demand_cache_miss_rate,0.7463201889878248,0.7570506912442396
demand_read_mshr_hits,140.0,138.0
demand_mshr_hit_rate,0.03296444549093478,0.03250883392226148
demand_mshr_miss_rate,0.9670355545090652,0.9674911660777386
prefetch_requests,0.0,1155.0
prefetch_cache_hits,0.0,138.0
prefetch_mshr_hits,0.0,7.0
prefetch_misses,0.0,1010.0
prefetch_outcomes,0.0,1155.0
prefetch_unaccounted,0.0,0.0
prefetch_hits,0.0,0.0
prefetch_usage_rate,,0.0
coverage,0.0,0.0
cache_pollution,0.0,0.0
pollution_rate,,0.0
