metric,baseline,stride
total_demand_reads,5643.0,5587.0
demand_read_hits,1396.0,1344.0
demand_read_misses,4107.0,4107.0
demand_cache_hit_rate,0.2536798110121752,0.24656026417171162
demand_cache_miss_rate,0.7463201889878248,0.7534397358282884
demand_read_mshr_hits,140.0,136.0
demand_mshr_hit_rate,0.03296444549093478,0.032052792835258075
demand_mshr_miss_rate,0.9670355545090652,0.9679472071647419
prefetch_requests,0.0,847.0
prefetch_cache_hits,0.0,72.0
prefetch_mshr_hits,0.0,8.0
prefetch_misses,0.0,767.0
prefetch_outcomes,0.0,847.0
prefetch_unaccounted,0.0,0.0
prefetch_hits,0.0,0.0
prefetch_usage_rate,,0.0
coverage,0.0,0.0
cache_pollution,0.0,0.0
pollution_rate,,0.0
