metric,baseline,stride
total_demand_reads,328160.0,328161.0
demand_read_hits,252055.0,269056.0
demand_read_misses,32850.0,33060.0
demand_cache_hit_rate,0.8846984082413436,0.89057183333554
demand_cache_miss_rate,0.1153015917586564,0.10942816666446001
demand_read_mshr_hits,43255.0,26045.0
demand_mshr_hit_rate,0.5683595033177846,0.4406564588444294
demand_mshr_miss_rate,0.4316404966822154,0.5593435411555706
prefetch_requests,0.0,74753.0
prefetch_cache_hits,0.0,45370.0
prefetch_mshr_hits,0.0,10692.0
prefetch_misses,0.0,18691.0
prefetch_outcomes,0.0,74753.0
prefetch_unaccounted,0.0,0.0
prefetch_hits,0.0,97.0
prefetch_usage_rate,,0.0012976067850119727
coverage,0.0,0.002925475766806406
cache_pollution,0.0,9071.0
pollution_rate,,0.12134630048292376
