Location,What,Value,Unit
GPU[1].SA[14].CU[3],simd_inst_count,0.0,count
GPU[1].SA[14].CU[3],simd_CPI,Inf,cycles/inst
GPU[1].SA[15].CU[0],cu_inst_count,0.0,count
GPU[1].SA[15].CU[0],cu_CPI,Inf,cycles/inst
GPU[1].SA[15].CU[0],simd_inst_count,0.0,count
GPU[1].SA[15].CU[0],simd_CPI,Inf,cycles/inst
GPU[1].SA[15].CU[1],cu_inst_count,0.0,count
GPU[1].SA[15].CU[1],cu_CPI,Inf,cycles/inst
GPU[1].SA[15].CU[1],simd_inst_count,0.0,count
GPU[1].SA[15].CU[1],simd_CPI,Inf,cycles/inst
GPU[1].SA[15].CU[2],cu_inst_count,0.0,count
GPU[1].SA[15].CU[2],cu_CPI,Inf,cycles/inst
GPU[1].SA[15].CU[2],simd_inst_count,0.0,count
GPU[1].SA[15].CU[2],simd_CPI,Inf,cycles/inst
GPU[1].SA[15].CU[3],cu_inst_count,0.0,count
GPU[1].SA[15].CU[3],cu_CPI,Inf,cycles/inst
GPU[1].SA[15].CU[3],simd_inst_count,0.0,count
GPU[1].SA[15].CU[3],simd_CPI,Inf,cycles/inst
GPU[1].SA[0].CU[0],CPIStack.Branch,0.0259208731241468,cycles/inst
GPU[1].SA[0].CU[0],CPIStack.Fetch,0.298090040927696,cycles/inst
GPU[1].SA[0].CU[0],CPIStack.Idle,0.0127330604820375,cycles/inst
GPU[1].SA[0].CU[0],CPIStack.LDS,0.589358799454302,cycles/inst
GPU[1].SA[0].CU[0],CPIStack.ScalarInst,0.122783083219642,cycles/inst
GPU[1].SA[0].CU[0],CPIStack.ScalarMem,0.055707139608913,cycles/inst
GPU[1].SA[0].CU[0],CPIStack.ScalarMemInst,0.00136425648021838,cycles/inst
GPU[1].SA[0].CU[0],CPIStack.Special,0.0479763528876739,cycles/inst
GPU[1].SA[0].CU[0],CPIStack.VALU,4.17235106866758,cycles/inst
GPU[1].SA[0].CU[0],CPIStack.VMem,1.7212369258754,cycles/inst
GPU[1].SA[0].CU[0],CPIStack.VMemInst,0.16393815370623,cycles/inst
GPU[1].SA[0].CU[0],CPIStack.total,7.21168713051387,cycles/inst
GPU[1].SA[0].CU[0],SIMDCPIStack.Branch,0.0310626702997269,cycles/inst
GPU[1].SA[0].CU[0],SIMDCPIStack.Fetch,0.357220708446868,cycles/inst
GPU[1].SA[0].CU[0],SIMDCPIStack.Idle,0.0152588555858313,cycles/inst
GPU[1].SA[0].CU[0],SIMDCPIStack.LDS,0.706267029972757,cycles/inst
GPU[1].SA[0].CU[0],SIMDCPIStack.ScalarInst,0.147138964577653,cycles/inst
GPU[1].SA[0].CU[0],SIMDCPIStack.ScalarMem,0.0667574931880107,cycles/inst
GPU[1].SA[0].CU[0],SIMDCPIStack.ScalarMemInst,0.00163487738419631,cycles/inst
GPU[1].SA[0].CU[0],SIMDCPIStack.Special,0.0574931880108965,cycles/inst
GPU[1].SA[0].CU[0],SIMDCPIStack.VALU,5.0,cycles/inst
GPU[1].SA[0].CU[0],SIMDCPIStack.VMem,2.06267029972752,cycles/inst
GPU[1].SA[0].CU[0],SIMDCPIStack.VMemInst,0.196457765667575,cycles/inst
GPU[1].SA[0].CU[0],SIMDCPIStack.total,8.64223433242507,cycles/inst
GPU[1].SA[0].CU[1],CPIStack.Branch,0.0259208731241468,cycles/inst
GPU[1].SA[0].CU[1],CPIStack.Fetch,0.298090040927695,cycles/inst
GPU[1].SA[0].CU[1],CPIStack.Idle,0.0127330604820379,cycles/inst
GPU[1].SA[0].CU[1],CPIStack.LDS,0.589358799454302,cycles/inst
GPU[1].SA[0].CU[1],CPIStack.ScalarInst,0.122783083219642,cycles/inst
GPU[1].SA[0].CU[1],CPIStack.ScalarMem,0.055707139608913,cycles/inst
GPU[1].SA[0].CU[1],CPIStack.ScalarMemInst,0.00136425648021838,cycles/inst
GPU[1].SA[0].CU[1],CPIStack.Special,0.0479763528876728,cycles/inst
GPU[1].SA[0].CU[1],CPIStack.VALU,4.17235106866758,cycles/inst
GPU[1].SA[0].CU[1],CPIStack.VMem,1.7212369258754,cycles/inst
GPU[1].SA[0].CU[1],CPIStack.VMemInst,0.16393815370623,cycles/inst
GPU[1].SA[0].CU[1],CPIStack.total,7.21168713051387,cycles/inst
GPU[1].SA[0].CU[1],SIMDCPIStack.Branch,0.0310626702997269,cycles/inst
GPU[1].SA[0].CU[1],SIMDCPIStack.Fetch,0.357220708446867,cycles/inst
GPU[1].SA[0].CU[1],SIMDCPIStack.Idle,0.0152588555858317,cycles/inst
GPU[1].SA[0].CU[1],SIMDCPIStack.LDS,0.706267029972757,cycles/inst
GPU[1].SA[0].CU[1],SIMDCPIStack.ScalarInst,0.147138964577653,cycles/inst
GPU[1].SA[0].CU[1],SIMDCPIStack.ScalarMem,0.0667574931880107,cycles/inst
GPU[1].SA[0].CU[1],SIMDCPIStack.ScalarMemInst,0.00163487738419631,cycles/inst
GPU[1].SA[0].CU[1],SIMDCPIStack.Special,0.0574931880108951,cycles/inst
GPU[1].SA[0].CU[1],SIMDCPIStack.VALU,5.0,cycles/inst
GPU[1].SA[0].CU[1],SIMDCPIStack.VMem,2.06267029972752,cycles/inst
GPU[1].SA[0].CU[1],SIMDCPIStack.VMemInst,0.196457765667575,cycles/inst
GPU[1].SA[0].CU[1],SIMDCPIStack.total,8.64223433242507,cycles/inst
GPU[1].SA[0].CU[2],CPIStack.Branch,0.0259208731241468,cycles/inst
GPU[1].SA[0].CU[2],CPIStack.Fetch,0.297635288767622,cycles/inst
GPU[1].SA[0].CU[2],CPIStack.Idle,0.0127330604820379,cycles/inst
GPU[1].SA[0].CU[2],CPIStack.LDS,0.589358799454302,cycles/inst
GPU[1].SA[0].CU[2],CPIStack.ScalarInst,0.122783083219642,cycles/inst
GPU[1].SA[0].CU[2],CPIStack.ScalarMem,0.055707139608913,cycles/inst
GPU[1].SA[0].CU[2],CPIStack.ScalarMemInst,0.00136425648021838,cycles/inst
GPU[1].SA[0].CU[2],CPIStack.Special,0.0479763528876716,cycles/inst
GPU[1].SA[0].CU[2],CPIStack.VALU,4.17235106866758,cycles/inst
GPU[1].SA[0].CU[2],CPIStack.VMem,1.72169167803547,cycles/inst
GPU[1].SA[0].CU[2],CPIStack.VMemInst,0.16393815370623,cycles/inst
GPU[1].SA[0].CU[2],CPIStack.total,7.21168713051387,cycles/inst
GPU[1].SA[0].CU[2],SIMDCPIStack.Branch,0.0310626702997269,cycles/inst
GPU[1].SA[0].CU[2],SIMDCPIStack.Fetch,0.356675749318802,cycles/inst
GPU[1].SA[0].CU[2],SIMDCPIStack.Idle,0.0152588555858317,cycles/inst
GPU[1].SA[0].CU[2],SIMDCPIStack.LDS,0.706267029972757,cycles/inst
GPU[1].SA[0].CU[2],SIMDCPIStack.ScalarInst,0.147138964577653,cycles/inst
GPU[1].SA[0].CU[2],SIMDCPIStack.ScalarMem,0.0667574931880107,cycles/inst
GPU[1].SA[0].CU[2],SIMDCPIStack.ScalarMemInst,0.00163487738419631,cycles/inst
GPU[1].SA[0].CU[2],SIMDCPIStack.Special,0.0574931880108937,cycles/inst
GPU[1].SA[0].CU[2],SIMDCPIStack.VALU,5.0,cycles/inst
GPU[1].SA[0].CU[2],SIMDCPIStack.VMem,2.06321525885559,cycles/inst
GPU[1].SA[0].CU[2],SIMDCPIStack.VMemInst,0.196457765667575,cycles/inst
GPU[1].SA[0].CU[2],SIMDCPIStack.total,8.64223433242507,cycles/inst
GPU[1].SA[0].CU[3],CPIStack.Branch,0.0259208731241468,cycles/inst
GPU[1].SA[0].CU[3],CPIStack.Fetch,0.297862664847659,cycles/inst
GPU[1].SA[0].CU[3],CPIStack.Idle,0.0127330604820375,cycles/inst
GPU[1].SA[0].CU[3],CPIStack.LDS,0.589358799454302,cycles/inst
